"product_name","product_url","product_instock","product_price"
"Light Bulb Camera,Include 16GB Card 1080P WiFi Security Camera, 2MP Wireles IP LED Cam,360 Degrees Panoramic VR Indoor/Outdoor Home Surveillance Cameras,Motion Detection/Night Vision/Alarm","https://www.amazon.com/Include-Security-Panoramic-Surveillance-Detection/dp/B082S9PBHK/ref=sr_1_18?keywords=smart+light&qid=1581477719&sr=8-18","","32."
"Treatlife Smart Light Switch（Neutral Wire Required), 2.4Ghz Wi-Fi Light Switch, Works with Alexa and Google Assistant, Schedule, Remote Control, Single Pole, ETL Listed (4 PACK)","https://www.amazon.com/Treatlife-Smart-Light-Switch-Assistant/dp/B07R4MFWCQ/ref=sr_1_19?keywords=smart+light&qid=1581477719&sr=8-19","","59."
"Amazon Smart Plug, works with Alexa – A Certified for Humans Device","https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/dp/B01MZEEFNX/ref=sr_1_20?keywords=smart+light&qid=1581477719&sr=8-20","","24."
"Smart Light Bulb WiFi Light Bulbs,TECKIN 13W E27 RGBCW Multicolor Dimmable LED Color Changing Light Bulb Equivalent 100W,1300LM BR30 Compatible with Alexa and Google Home IFTTT 2900K-6000K 2 Packs","https://www.amazon.com/TECKIN-Multicolor-Equivalent-Compatible-2900K-6000K/dp/B07Z8X6VQZ/ref=sr_1_21?keywords=smart+light&qid=1581477719&sr=8-21","","37."
"3-way Smart Light Switch, Neutral Wire Required, Treatlife WiFi Light Switch Single Pole/3-way Switch Works With Alexa, Google Assistant, Remote Control, ETL, Schedule, 1 PACK","https://www.amazon.com/Treatlife-Assistant-Control-Schedule-Required/dp/B07V4X7BRT/ref=sr_1_22?keywords=smart+light&qid=1581477719&sr=8-22","","27."
"Smart Light Bulb Alexa LED Color Changing Light Bulbs,TECKIN A19 E27 60W 800LM Equivalent Compatible with Google Home,IFTTT,2800K-6000K Cold and Warm Light WiFi Blubs(7.5W),2pack","https://www.amazon.com/Changing-TECKIN-Equivalent-Compatible-2800K-6000K/dp/B07ZJHKC8W/ref=sr_1_23?keywords=smart+light&qid=1581477719&sr=8-23","","24."
"Smart Alexa Light Bulbs, SAUDIO WiFi LED Bulbs RGB Color Changing Bulbs, Compatible with Siri,Alexa,IFTTT and Google Home Assistant, No Hub Required, A19 E26 Multicolor 2 Pack","https://www.amazon.com/SAUDIO-Changing-Compatible-Assistant-Multicolor/dp/B082WT4CPW/ref=sr_1_24?keywords=smart+light&qid=1581477719&sr=8-24","","19."
"OHLUX Smart WiFi LED Light Bulbs Compatible with Alexa Google Home and IFTTT(No Hub Required), RGBCW Multi-Color, Warm to Cool White Dimmable, 60W Equivalent, 7W E26 A19 Color Changing Bulb-4PACK","https://www.amazon.com/OHLUX-Compatible-Equivalent-Multi-Color-Bulb-4PACK/dp/B07LCB3HQJ/ref=sr_1_25?keywords=smart+light&qid=1581477719&sr=8-25","","39."
"Smart WiFi Light Bulb, LUMIMAN LED RGBCW Color Changing, Compatible with Alexa, Siri and Google Home Assistant, No Hub Required, A19 E26 Multicolor 4 Pack","https://www.amazon.com/LUMIMAN-Changing-Compatible-Assistant-Multicolor/dp/B07XYXY5QR/ref=sr_1_26?keywords=smart+light&qid=1581477719&sr=8-26","In Stock.","39."
"Smart LED Light Bulb, Dimmable WiFi Smart Bulb with Warm Lights - No Hub Required, Christmas Smart Bulb Works with Alexa Echo Dot, Google Home Mini & Samsung, KHSUIN LED Smart Light Bulbs 7W (80W)","https://www.amazon.com/Smart-Light-Bulb-Dimmable-Lights/dp/B07WS6SK2X/ref=sr_1_27?keywords=smart+light&qid=1581477719&sr=8-27","In Stock.","19."
"Smart Light Bulb with Soft White Light 2800k-6200k + RGBW, TECKIN A19 WiFi Multicolor LED Bulb Compatible with Phone, Google Home, 8w (60w Equivalent),2 Pack","https://www.amazon.com/Dimmable-Multicolor-Compatible-TECKIN-Equivalent/dp/B07GT2Q5RW/ref=sr_1_28?keywords=smart+light&qid=1581477719&sr=8-28","","23."
"Kasa Smart WiFi Plug by TP-Link – Smart Plug, No Hub Required, Works with Alexa and Google (HS100), white, 1 Pack","https://www.amazon.com/TP-Link-HS100-Required-Google-Assistant/dp/B0178IC734/ref=sr_1_29?keywords=smart+light&qid=1581477719&sr=8-29","","16."
"LED Candelabra Bulbs E12 Base, Color Changing and Dimmable Smart Light Bulb, Compatible with Alexa Google Home IFTTT, Tunable White Chandelier Light Bulbs 320 lm 35w Equivalent, 3 Pack","https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B081L4Q5HH/ref=sr_1_30?keywords=smart+light&qid=1581477719&sr=8-30","","28."
"Kasa Smart WiFi Light Bulb, Dimmable by TP-Link – No Hub Required, Works with Alexa & Google (KL110)","https://www.amazon.com/Kasa-Smart-Light-Dimmable-TP-Link/dp/B07G1PH3JL/ref=sr_1_31?keywords=smart+light&qid=1581477719&sr=8-31","","16."
"LED Candelabra Bulbs E12 Base- Chandelier Lighting Bulbs 400 Lumens 5W(45 Watt equiv.) - Tunable White 2000K-6500K RGB Color Changing Dimmable Smart Light Bulb - 3 Pack","https://www.amazon.com/Candelabra-Chandelier-Lighting-Lumens-equiv/dp/B07YFTKCQC/ref=sr_1_32?keywords=smart+light&qid=1581477719&sr=8-32","","29."
"Smart Light Bulb, WiFi Bulb Work with Siri, Alexa Echo, Google Home, Practical 10W 960LM Dimmable, from Warm White to Blue White Light Adjustable, No Hub Required, Fitop 2 E26 A19 LED Light Bulbs","https://www.amazon.com/Practical-Dimmable-Adjustable-Required-Fitop/dp/B083LCXLDT/ref=sr_1_33?keywords=smart+light&qid=1581477719&sr=8-33","","22."
"Smart Light Switch&Alexa Smart Double Switch& 2.4Ghz WIFI Light Switch With Timer and Remote Control,Schedule,Neutral Wire Needed,Works with Alexa, Google Assistant and IFTTT,Single Pole (2gang)","https://www.amazon.com/Switch-Double-Remote-Control-required/dp/B07QRRRTDM/ref=sr_1_34?keywords=smart+light&qid=1581477719&sr=8-34","","36."
"Gosund Smart Light Switch, In-wall Wifi Smart Switch that Works with Alexa and Google Home, No Hub Required, Neutral Wire Needed, Single-Pole 15A, ETL and FCC Listed,4 Pack White","https://www.amazon.com/TanTan-Compatible-Single-Pole-required-Control/dp/B07MV1RTSV/ref=sr_1_35?keywords=smart+light&qid=1581477719&sr=8-35","","59."
